id,flow_rate,device_id,timeInstant,humidity,humiditySoil,temperature,commandInfo,totalFlow,created_at
8dd8cc7c-aed1-11ec-a369-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T16:59:19,54.20,68.74,29.64,false,751,1648583953
b18c3c58-aed1-11ec-9c45-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:00:19,56.60,69.89,29.52,false,751,1648584013
d5538416-aed1-11ec-bec4-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:01:19,62.00,69.96,29.04,false,751,1648584073
f9222eba-aed1-11ec-bd29-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:02:19,64.80,69.47,28.84,false,751,1648584133
1ce30d9c-aed2-11ec-9970-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:03:19,73.20,69.91,28.60,false,751,1648584193
40a63d8a-aed2-11ec-a197-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:04:19,82.50,70.33,27.85,false,751,1648584253
647351da-aed2-11ec-8e7c-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:05:19,84.40,70.62,27.30,false,751,1648584313
8834b9f6-aed2-11ec-9f61-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:06:19,87.60,70.70,26.86,false,751,1648584373
abf858ca-aed2-11ec-b18c-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:07:19,90.80,69.06,26.66,false,751,1648584433
cfc8cc30-aed2-11ec-b228-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:08:19,88.00,69.91,26.35,false,751,1648584493
f3a4499a-aed2-11ec-a28f-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:09:19,91.80,69.65,26.06,false,751,1648584553
177cddf0-aed3-11ec-be9d-0e9170a2fd2b," 0",Thing:smartirrigation005,28-03-2022T17:10:19,87.60,65.40,25.82,false,751,1648584613
